anio,ciiuc,cod_ciudad,caja,inversiones,activo_corriente,activo_no_corriente,activo,obl_finan,proveedores,obl_laborales,pasivo_corriente,pasivo_no_corriente,pasivo,patrimonio,ing_operacionales,utilidad,sectorppal2,ing2,ing2_def,id
2008,5219,11001,7657,0,900211,513010,1413221,410200,132480,5197,818974,0,818974,594247,1540687,-131631,5219,1540687,13710,194
2008,5229,11001,227,330000,336167,45664,381831,0,0,0,88047,0,88047,293784,82661,-27169,5229,82661,735,456
2008,5219,76001,20106,9610,7731653,3076297,10807950,3273721,431917,101509,4241066,1334178,5575244,5232706,17294253,21381,5219,17963121,159858,1111
2008,5211,76520,2013,9830,586945,363081,950026,171558,41730,20603,536376,0,536376,413650,1302590,5417,5211,1330155,11628,1465
2008,5211,76001,567589,1847514,6599907,1530719,8130626,3108,1924767,105396,4331931,0,4331931,3798695,54979513,401072,5211,54979513,489275,1891
2008,5211,76001,415457,0,4406304,2625114,7031418,1981142,3014571,163844,5542846,0,5542846,1488572,43529140,315629,5211,43656347,388508,1964
2008,5219,73001,36153,18090,4198915,100433,4299348,230973,2146725,29382,3238140,0,3238140,1061208,12699977,69767,5219,13652266,121494,2051
2008,5221,,0,0,71361,12923,84284,0,83469,11657,234860,0,234860,-150576,739666,-221391,5221,814631,7244,2427
2008,5219,11001,500,0,491300,238026,729326,25784,267815,10256,405225,27551,432776,296550,1855639,52622,5219,1888979,16810,2907
2008,5222,11001,121,0,871707,99812,971519,201152,431893,4047,654487,197000,851487,120032,4784422,-21346,5222,4805730,42767,3138
2008,5229,11001,50950,15114,370587,67044,437631,43233,103273,39800,368562,0,368562,69069,1551690,12278,5229,1556982,13807,3213
2008,5219,11001,500,0,520700,78243,598943,68722,177800,9127,415080,0,415080,183863,929128,42635,5219,929128,8268,3498
2008,5229,11001,17724,12277,2478377,1591396,4069773,1121795,1185083,41723,2583756,66927,2650683,1419090,6499694,36614,5229,6530665,59540,3564
2008,5229,11001,0,0,272106,154732,426838,0,25780,0,25780,89708,115488,311350,502052,9438,5229,502052,4467,3724
2008,5229,11001,19425,0,339961,264122,604083,0,47645,0,64076,294337,358413,245670,1292251,132619,5229,1300237,11571,4111
2008,5222,76001,124458,1433982,15289388,21741653,37031041,2667722,4482908,675167,11233013,4655263,15888276,21142765,120922394,1549799,5222,122551317,1076709,5532
2008,5229,76001,1014,128,2073243,698873,2772116,354946,184388,25122,956915,582458,1539373,1232743,2904180,-31357,5229,3000674,26166,5797
2008,5229,76892,146509,0,1406662,8090005,9496667,0,41,0,2350,0,2350,9494317,114195,847930,5229,114195,1024,5812
2008,5229,76520,400,0,92700414,53300,92753714,0,5414011,0,90694122,0,90694122,2059592,6039030,32287,5229,6276606,55857,6712
2008,5223,5001,35729,122,9916812,16158,9932970,48200,2239855,83955,4266493,1942100,6208593,3724377,30408376,2312,5223,31184407,277076,6947
2009,5219,68001,25681,25588,2299748,842121,3141869,161835,1443765,60418,1976058,515832,2491890,649979,9765581,181766,5219,10162701,88721,97
